gid,latitude,longitude,google_maps_link,vacancy_score,vacancy_subscore,vacancy_subscore_v1,road_subscore,healthcare_subscore,education_subscore,lifestyle_subscore,essential_services_subscore,urban_percentage,water_percentage,other_percentage,healthcare_count_1km,education_count_1km,lifestyle_count_1km
2898,17.378013602217518,78.14815027129758,"https://www.google.com/maps?q=17.378014,78.148150",100.0,100.0,16.15,66.77,39.5,0.0,26.35,0.0,0.0,0.0,0.0,0,0,0
2899,17.380875462880947,78.1481059217167,"https://www.google.com/maps?q=17.380875,78.148106",100.0,100.0,5.43,71.28,38.15,0.0,25.96,0.0,0.0,0.0,0.0,0,0,0
2900,17.38373732261573,78.14806156367973,"https://www.google.com/maps?q=17.383737,78.148062",81.05469,81.05469,0.86,71.15,36.79,0.0,25.56,0.0,18.945312,0.0,0.0,0,0,0
2901,17.38659918142172,78.14801719718596,"https://www.google.com/maps?q=17.386599,78.148017",100.0,100.0,10.6,69.48,36.33,0.0,25.14,0.0,0.0,0.0,0.0,0,0,0
2902,17.389461039298777,78.1479728222348,"https://www.google.com/maps?q=17.389461,78.147973",100.0,100.0,6.91,62.22,37.67,0.0,24.71,0.0,0.0,0.0,0.0,0,0,0
2903,17.392322896246775,78.1479284388257,"https://www.google.com/maps?q=17.392323,78.147928",100.0,100.0,4.44,63.38,39.01,0.0,24.26,0.0,0.0,0.0,0.0,0,0,0
2904,17.395184752265553,78.14788404695794,"https://www.google.com/maps?q=17.395185,78.147884",100.0,100.0,16.4,63.25,40.34,0.0,24.25,0.0,0.0,0.0,0.0,0,0,0
2905,17.39804660735499,78.14783964663097,"https://www.google.com/maps?q=17.398047,78.147840",100.0,100.0,4.19,63.75,41.68,0.0,24.59,0.0,0.0,0.0,0.0,0,0,0
2906,17.400908461514923,78.14779523784418,"https://www.google.com/maps?q=17.400908,78.147795",100.0,100.0,4.07,65.76,43.0,0.0,24.92,0.0,0.0,0.0,0.0,0,0,0
2907,17.403770314745234,78.14775082059697,"https://www.google.com/maps?q=17.403770,78.147751",100.0,100.0,6.41,69.57,44.33,0.0,25.23,0.0,0.0,0.0,0.0,0,0,0
2908,17.406632167045778,78.14770639488867,"https://www.google.com/maps?q=17.406632,78.147706",100.0,100.0,14.18,67.38,45.64,0.0,25.53,0.0,0.0,0.0,0.0,0,0,0
2909,17.40949401841641,78.14766196071871,"https://www.google.com/maps?q=17.409494,78.147662",100.0,100.0,5.55,61.79,46.95,0.0,25.8,0.0,0.0,0.0,0.0,0,0,0
2910,17.412355868856988,78.14761751808649,"https://www.google.com/maps?q=17.412356,78.147618",100.0,100.0,5.8,61.07,48.26,0.0,26.06,0.0,0.0,0.0,0.0,0,0,0
2911,17.41521771836738,78.14757306699137,"https://www.google.com/maps?q=17.415218,78.147573",100.0,100.0,18.25,61.25,49.55,0.0,26.29,0.0,0.0,0.0,0.0,0,0,0
2912,17.418079566947437,78.14752860743273,"https://www.google.com/maps?q=17.418080,78.147529",100.0,100.0,8.63,62.38,50.84,0.0,26.51,0.0,0.0,0.0,0.0,0,0,0
2913,17.420941414597035,78.14748413941,"https://www.google.com/maps?q=17.420941,78.147484",100.0,100.0,5.3,62.51,52.11,0.0,26.7,0.0,0.0,0.0,0.0,0,0,0
2914,17.423803261316007,78.14743966292252,"https://www.google.com/maps?q=17.423803,78.147440",100.0,100.0,12.7,63.76,53.37,0.0,26.87,0.0,0.0,0.0,0.0,0,0,0
2915,17.42666510710424,78.14739517796971,"https://www.google.com/maps?q=17.426665,78.147395",99.80469,99.80469,16.4,59.77,54.61,0.0,27.03,0.0,0.1953125,0.0,0.0,0,0,0
2916,17.429526951961584,78.14735068455094,"https://www.google.com/maps?q=17.429527,78.147351",99.21875,99.21875,16.15,58.7,55.83,0.0,27.16,0.0,0.78125,0.0,0.0,0,0,0
2917,17.432388795887892,78.14730618266562,"https://www.google.com/maps?q=17.432389,78.147306",100.0,100.0,5.18,55.93,57.01,0.0,27.27,0.0,0.0,0.0,0.0,0,0,0
2918,17.43525063888303,78.14726167231308,"https://www.google.com/maps?q=17.435251,78.147262",100.0,100.0,4.07,53.96,58.16,0.0,27.36,0.0,0.0,0.0,0.0,0,0,0
2919,17.438112480946856,78.14721715349278,"https://www.google.com/maps?q=17.438112,78.147217",100.0,100.0,7.4,54.5,59.25,0.0,27.42,0.0,0.0,0.0,0.0,0,0,0
2920,17.44097432207923,78.14717262620404,"https://www.google.com/maps?q=17.440974,78.147173",100.0,100.0,17.02,56.26,60.27,0.0,27.47,0.0,0.0,0.0,0.0,0,0,0
2921,17.443836162280018,78.14712809044629,"https://www.google.com/maps?q=17.443836,78.147128",95.41016,95.41016,3.33,58.49,61.2,0.0,27.49,0.0,4.5898438,0.0,0.0,0,0,0
2922,17.446698001549077,78.1470835462189,"https://www.google.com/maps?q=17.446698,78.147084",88.86719,88.86719,23.8,69.84,62.0,0.0,27.49,0.0,11.1328125,0.0,0.0,0,0,0
2923,17.44955983988626,78.14703899352125,"https://www.google.com/maps?q=17.449560,78.147039",100.0,100.0,26.51,71.37,62.63,0.0,27.48,0.0,0.0,0.0,0.0,0,0,0
2924,17.452421677291433,78.14699443235273,"https://www.google.com/maps?q=17.452422,78.146994",99.12109,99.12109,5.06,71.36,63.05,0.0,27.43,0.0,0.87890625,0.0,0.0,0,0,0
